Rank,Site,Manufacturer,Computer,Country,Year,Total Cores,Rmax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Processor Speed (MHz),Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,National Supercomputing Center in Tianjin,NUDT,"NUDT TH MPP, X5670 2.93Ghz 6C, NVIDIA GPU, FT-1000 8C",China,2010,186368,2566000,4701000,3600000,1000000,4040,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,NUDT MPP,NUDT YH MPP,Linux,MPP,Research,Research,Proprietary,Proprietary,Eastern Asia,Asia
2,DOE/SC/Oak Ridge National Laboratory,Cray Inc.,Cray XT5-HE Opteron 6-core 2.6 GHz,United States,2009,224162,1759000,2331000,5474272,0,6950.6,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
3,National Supercomputing Centre in Shenzhen (NSCS),Dawning,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU",China,2010,120640,1271000,2984300,2359296,0,2580,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dawning Cluster,Dawning TC3600 Blade System,Linux,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
4,"GSIC Center, Tokyo Institute of Technology",NEC/HP,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows",Japan,2010,73278,1192000,2287630,2490368,0,1398.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
5,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,153408,1054000,1288630,4537344,0,2910,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Research,Research,Custom,Custom,North America,Americas
6,Commissariat a l'Energie Atomique (CEA),Bull SA,Bull bullx super-node S6010/S6030,France,2010,138368,1050000,1254550,4926336,0,4590,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010/S6030,Linux,Cluster,Research,Defense,Infiniband,Infiniband QDR,Western Europe,Europe
7,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",United States,2009,122400,1042000,1375780,2249343,0,2345.5,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
8,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT5-HE Opteron 6-core 2.6 GHz,United States,2009,98928,831700,1028850,0,0,3090,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
9,Forschungszentrum Juelich (FZJ),IBM,Blue Gene/P Solution,Germany,2009,294912,825500,1002700,0,0,2268,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,Western Europe,Europe
10,DOE/NNSA/LANL/SNL,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,107152,816600,1028660,0,0,2950,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,MPP,Research,Research,Custom,Custom,North America,Americas
11,NASA/Ames Research Center/NAS,SGI,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon Westmere 2.93 Ghz, Infiniband",United States,2010,81920,772700,973291,2966040,0,3096,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX/8400EX,Linux,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
12,DOE/NNSA/LLNL,IBM,eServer Blue Gene Solution,United States,2007,212992,478200,596378,2456063,0,2329.6,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
13,DOE/SC/Argonne National Laboratory,IBM,Blue Gene/P Solution,United States,2007,163840,458611,557056,0,0,1260,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
14,Sandia National Laboratories / National Renewable Energy Laboratory,Oracle,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",United States,2010,42440,433500,497396,2504421,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade x6275,CentOS,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
15,Texas Advanced Computing Center/Univ. of Texas,Oracle,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200,579379,0,0,2000,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Sun Blade System,Sun Blade x6420,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
16,DOE/NNSA/LLNL,IBM,Blue Gene/P Solution,United States,2009,147456,415700,501350,2958335,0,1134,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
17,Moscow State University - Research Computing Center,T-Platforms,"T-Platforms T-Blade2, Xeon 5570 2.93 GHz, Infiniband QDR",Russia,2009,35360,350100,414419,2489344,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,T-Platforms Cluster,T-Platforms T-Blade2,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
18,Air Force Research Laboratory,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,42712,336300,410035,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,MPP,Research,Defense,Custom,Custom,North America,Americas
19,Korea Meteorological Administration,Cray Inc.,Cray XE6 12-core 2.1 GHz,"Korea, South",2010,45120,316400,379008,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Research,Weather and Climate Research,Custom,Custom,Eastern Asia,Asia
20,Korea Meteorological Administration,Cray Inc.,Cray XE6 12-core 2.1 GHz,"Korea, South",2010,45120,316400,379008,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Research,Weather and Climate Research,Custom,Custom,Eastern Asia,Asia
21,Government,Cray Inc.,Cray XE6 12-core 2.2 GHz,United States,2010,45504,295500,400435,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,Cray XE,Cray XE6,Linux,MPP,Classified,Not Specified,Custom,Custom,North America,Americas
22,Universitaet Frankfurt,Clustervision/Supermicro,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",Germany,2010,15120,285200,469728,1935360,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Supermicro Cluster,Supermicro SuperServer,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Western Europe,Europe
23,Forschungszentrum Juelich (FZJ),Bull SA,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",Germany,2009,26304,274800,308283,0,0,1549,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun-Bull-ParTec Cluster,NovaScale R422-E2/Sun Blade 6048 system,SUSE Linux,Cluster,Research,Not Specified,Infiniband,Infiniband QDR Sun M9 / Mellanox / ParTec,Western Europe,Europe
24,KISTI Supercomputing Center,Oracle,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","Korea, South",2009,26232,274800,307439,0,0,1275.96,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
25,University of Edinburgh,Cray Inc.,Cray XT6 12-Core 2.1 GHz,United Kingdom,2010,43660,274700,366744,2416744,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6,Linux,MPP,Academic,Not Specified,Custom,Custom,Northern Europe,Europe
26,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,38642,266300,355506,1612399,0,1150,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
27,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",France,2010,23040,237800,267878,2487240,0,1064,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
28,"Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","Mole-8.5 Cluster Xeon L5520 2.26 Ghz, nVidia Tesla, Infiniband",China,2010,33120,207300,1138440,1113600,0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,Custom Cluster,Mole-8.5 Cluster Xeon/Tesla/Mellanox QDR Infiniband,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
29,National Institute for Space Research (INPE),Cray Inc.,Cray XT6 12-core 2.1 GHz,Brazil,2010,30720,205100,258048,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6,Linux,MPP,Research,Not Specified,Custom,Custom,South America,Americas
30,DOE/SC/Oak Ridge National Laboratory,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,30976,205000,260200,2466816,0,1580.71,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
31,Sandia National Laboratories,Cray Inc.,Cray XT3/XT4,United States,2009,38208,204200,284000,0,0,2506,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Cray XT,Cray XT3/XT4,Linux,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
32,NOAA/Oak Ridge National Laboratory,Cray Inc.,"Cray XT6-HE, Opteron 6100 12C 2.1GHz",United States,2010,30912,194400,259661,2624384,0,610.7,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6-HE,Linux,MPP,Research,Weather and Climate Research,Custom,Custom,North America,Americas
33,Japan Atomic Energy Agency (JAEA),Fujitsu,"BX900 Xeon X5570 2.93GHz , Infiniband QDR",Japan,2009,17072,191400,200080,2401344,0,831.23,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu Cluster,Linux,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
34,King Abdullah University of Science and Technology,IBM,Blue Gene/P Solution,Saudi Arabia,2009,65536,190900,222822,0,0,504,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Asia,Asia
35,Shanghai Supercomputer Center,Dawning,"Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008",China,2008,30720,180600,233472,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,1900,4,Dawning Cluster,Dawning 5000A,Windows HPC 2008,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia
36,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband",France,2009,24704,179634,247040,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Government,Not Specified,Infiniband,Infinband DDR 4x,Western Europe,Europe
37,EDF R&D,IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",France,2010,16320,168800,191270,1958400,0,510,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Energy,Infiniband,Infiniband,Western Europe,Europe
38,Swiss Scientific Computing Center (CSCS),Cray Inc.,Cray XT5 SixCore 2.4 GHz,Switzerland,2009,22032,168700,211507,1798464,0,713,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Cray XT,Cray XT5 SixCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,Western Europe,Europe
39,SciNet/University of Toronto,IBM,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE",Canada,2009,30240,168600,306029,0,0,869.4,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
40,Lawrence Livermore National Laboratory,Dell,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",United States,2010,21756,166700,243667,1973166,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell Xanadu,Dell Xanadu 3 Cluster,Linux,Cluster,Research,Energy,Infiniband,Infiniband QDR,North America,Americas
41,Government,Cray Inc.,Cray XT5 QC 2.4 GHz,United States,2009,20960,165600,201216,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2400,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Government,Defense,Proprietary,XT4 Internal Interconnect,North America,Americas
42,University of Tokyo/Institute for Solid State Physics,SGI,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",Japan,2010,15360,161800,180019,2351496,0,719.3,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8400EX,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
43,ERDC DSRC,SGI,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz",United States,2009,15360,160200,172032,2280600,0,774.5,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200 Enhanced LX,SLES10 + SGI ProPack 5,MPP,Government,Defense,Infiniband,Infiniband DDR,North America,Americas
44,ERDC MSRC,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,20176,153000,193690,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,MPP,Research,Not Specified,Custom,Custom,North America,Americas
45,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200,175258,1757600,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
46,New Mexico Computing Applications Center (NMCAC),SGI,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",United States,2007,14336,133200,172032,1800100,0,861.63,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Research,Infiniband,Infiniband,North America,Americas
47,"Computational Research Laboratories, TATA SONS",Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",India,2008,14384,132800,172608,1850000,250000,786,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband DDR,South-central Asia,Asia
48,Lawrence Livermore National Laboratory,Appro International,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",United States,2008,18224,131600,162200,1854663,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,Appro XtremeServer,Appro XtremeServer 1143H,Redhat Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
49,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",United States,2009,14400,126500,161856,805759,0,276,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
50,NOAA/ESRL/GSD,Raytheon/Aspen Systems,"Raytheon/Aspen Cluster, Xeon X5560/X5650 2.8/2.66 Ghz, QDR Infinband",United States,2010,13732,126500,148116,1664080,257000,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,NOW - Intel,Raytheon/Aspen Systems Cluster,Linux,Cluster,Research,Weather and Climate Research,Infiniband,Infiniband QDR,North America,Americas
51,National Computational Infrastructure National Facility (NCI-NF),Oracle,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",Australia,2010,11936,126400,139890,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Australia and New Zealand,Oceania
52,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128,165195,1367871,0,888.82,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
53,Atomic Weapons Establishment,Bull SA,"Bullx B500 Cluster, Xeon X56xx 2.8Ghz, QDR Infiniband",United Kingdom,2010,12936,124600,145152,2304960,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Bull Bullx,Bullx B500 Cluster,Linux,Cluster,Classified,Defense,Infiniband,Infiniband QDR,Northern Europe,Europe
54,Japan Agency for Marine -Earth Science and Technology,NEC,SX-9/E/1280M160,Japan,2009,1280,122400,131072,1556480,0,0,NEC,NEC,3200,1,NEC Vector,SX-9/E,Super-UX,MPP,Research,Research,Fat Tree,Fat Tree Network,Eastern Asia,Asia
55,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310,139264,0,0,315,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
56,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2008,8320,115900,156416,0,0,1329.7,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
57,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,8320,115900,156416,0,0,1329.7,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Northern Europe,Europe
58,DKRZ - Deutsches Klimarechenzentrum,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,8064,115900,151603,1128959,0,1288.69,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Western Europe,Europe
59,JAXA,Fujitsu,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",Japan,2009,12032,110600,121282,3308800,0,1020.5,Sparc,SPARC64 VII,2500,4,Fujitsu Cluster,Fujitsu FX1,Open Solaris,Cluster,Research,Aerospace,Infiniband,Infiniband DDR,Eastern Asia,Asia
60,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz",United States,2009,10752,109300,120422,1908480,0,475,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Research,Defense,Infiniband,Infiniband,North America,Americas
61,Commissariat a l'Energie Atomique (CEA)/CCRT,Bull SA,BULL Novascale R422-E2,France,2010,11520,108500,129998,1714176,0,477,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Bull Cluster,NovaScale R422-E2,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe
62,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448,140160,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
63,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100,120730,1535480,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
64,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100,120730,1535480,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
65,Total Exploration Production,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,10240,106100,122880,1535480,0,442,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Industry,Geophysics,Infiniband,Infiniband,Western Europe,Europe
66,Lawrence Livermore National Laboratory,Dell,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",United States,2010,15000,105900,168000,1476000,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell Xanadu,Dell Xanadu 3 Cluster,Linux,Cluster,Research,Energy,Infiniband,Infiniband QDR,North America,Americas
67,Government Agency,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband",Sweden,2007,13728,102800,146430,575000,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Government,Defense,Infiniband,Infiniband DDR,Northern Europe,Europe
68,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800,145965,1600000,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Lenovo Cluster,Lenovo DeepComp 7000,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
69,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",United States,2009,13552,102200,127200,1651780,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Research,Research,Infiniband,Infinband DDR 4x,North America,Americas
70,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741,138956,1740800,0,831.5,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia
71,Kurchatov Institute Moscow,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Russia,2010,10304,101213,123648,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
72,Lawrence Livermore National Laboratory,Appro International,"Appro GreenBlade Cluster Xeon X5660 2.8Ghz, nVIDIA M2050, Infiniband",United States,2010,8240,100500,239866,1414656,0,745,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Appro Cluster,Appro GreenBlade Cluster,Linux,Cluster,Research,Energy,Infiniband,Infiniband QDR,North America,Americas
73,Max-Planck-Gesellschaft MPI/IPP,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2009,6848,98423,128742,0,0,1095,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Western Europe,Europe
74,Institute of Physical and Chemical Res. (RIKEN),Fujitsu,"RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR",Japan,2009,9048,97940,106042,1287936,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu RX200S5 Cluster,RedHat Enterprise 5,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia
75,DOE/SC/Pacific Northwest National Laboratory,Hewlett-Packard,"Cluster Platform 4000 DL185G5, Opteron QC 2.2 GHz, Infiniband DDR",United States,2008,18176,97071,159949,488000,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,HP Cluster Platform 4000,HP Cluster Platform 4000 DL185G5 Cluster,Linux,Cluster,Research,Life Science,Infiniband,Infiniband DDR,North America,Americas
76,EDF R&D,IBM,Blue Gene/P Solution,France,2008,32768,95450,111411,0,0,252,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Industry,Research,Proprietary,Proprietary,Western Europe,Europe
77,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,12288,95080,113050,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
78,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Germany,2009,10240,94737.1,122880,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,Western Europe,Europe
79,University of Southern California,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,13000,94220,119600,1459200,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,CentOS,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
